title_id,platform_id,view_count,date
married-the-mafioso-i-saved,reelshort,154.1M,2026-07-14
fated-to-the-alpha,reelshort,134.9M,2026-07-14
escorting-the-heiress,reelshort,93.8M,2026-07-14
the-virgin-s-bucket-list,reelshort,84.2M,2026-07-14
find-your-way-back-to-me-my-childhood-sweetheart,reelshort,31.3M,2026-07-14
fated-to-my-billionaire-call-boy,reelshort,9.5M,2026-07-14
fated-to-my-forbidden-alpha,reelshort,217.6M,2026-07-14
your-husband-is-mine,reelshort,82.9M,2026-07-14
i-accidentally-hired-a-billionaire-husband,reelshort,66.6M,2026-07-14
hillbilly-girlie-marries-a-billionaire,reelshort,60.3M,2026-07-14
the-secret-of-my-billion-dollar-marriage,reelshort,52.1M,2026-07-14
goodbye-my-ceo,reelshort,47.8M,2026-07-14
the-alpha-s-daughter,reelshort,36.1M,2026-07-14
freeze-my-wanted-lover,reelshort,10.5M,2026-07-14
undercover-heiress,reelshort,8.4M,2026-07-14
the-senator-s-son,reelshort,96.1M,2026-07-14
kissed-by-claw-and-fang,reelshort,87.7M,2026-07-14
summer-situationship,reelshort,69.5M,2026-07-14
oops-i-m-in-love-with-my-stepbrother,reelshort,39.3M,2026-07-14
the-virgin-camp-counselor,reelshort,34.6M,2026-07-14
the-lost-prima-ballerina,reelshort,78.4M,2026-07-14
my-secret-husband-is-my-boss,reelshort,78.1M,2026-07-14
stop-crying-i-married-someone-better,reelshort,65.4M,2026-07-14
caution-cute-baby-alert,reelshort,58.1M,2026-07-14
queen-mom-rules,reelshort,53.2M,2026-07-14
campaigning-for-love,reelshort,10M,2026-07-14
you-fired-a-genius-surgeon,reelshort,31M,2026-07-14
mr-hills-adorable-wife,reelshort,131.8M,2026-07-14
dominated-by-my-dad-s-boss,reelshort,90.4M,2026-07-14
queen-of-the-court,reelshort,53.9M,2026-07-14
swapped-my-ex-for-his-billionaire-uncle,reelshort,93.1M,2026-07-14
meet-my-brothers,reelshort,23.3M,2026-07-14
rented-a-billionaire-husband-for-christmas,reelshort,58.9M,2026-07-14
the-billionaire-and-the-baby-trap,reelshort,21.6M,2026-07-14
american-sniper-the-last-round,reelshort,202.7M,2026-07-14
the-cooking-queen-a-recipe-for-divorce,reelshort,56.5M,2026-07-14
the-break-up-bet-with-my-billionaire-ex,reelshort,21.4M,2026-07-14
mistaken-as-his-mate-the-luna-s-regret,reelshort,67.2M,2026-07-14
fuel-to-our-fire-my-racer-stepbrother,reelshort,48.6M,2026-07-14
taming-the-lion-billionaire-on-bikes,reelshort,62.2M,2026-07-14
i-m-pregnant-let-s-break-up,reelshort,45.5M,2026-07-14
heiress-crash-lands-on-her-husband,reelshort,153M,2026-07-14
mafia-boss-takes-high-school,reelshort,36.6M,2026-07-14
backstage-romance-with-the-popstar,reelshort,23.8M,2026-07-14
i-flash-married-my-best-friend,reelshort,43.9M,2026-07-14
you-ve-got-male,reelshort,47.5M,2026-07-14
the-call-boy-i-met-in-paris,reelshort,168.8M,2026-07-14
genius-baby-gets-daddy-back,reelshort,59M,2026-07-14
my-husband-regrets-divorcing-me,reelshort,58.7M,2026-07-14
love-me-two-times,reelshort,18.5M,2026-07-14
the-double-life-of-my-billionaire-husband,reelshort,522.3M,2026-07-14
snatched-a-billionaire-to-be-my-husband,reelshort,198.1M,2026-07-14
we-are-never-ever-getting-back-together,reelshort,115.4M,2026-07-14
the-return-of-my-drama-queen,reelshort,8.6M,2026-07-14
the-ceo-s-contract-wife,reelshort,116.2M,2026-07-14
money-guns-and-a-merry-christmas,reelshort,274.2M,2026-07-14
the-heiress-and-her-possessive-bodyguard,reelshort,38.9M,2026-07-14
big-bad-husband-please-wake-up,reelshort,115.2M,2026-07-14
big-bad-husband-please-wake-up-2,reelshort,25M,2026-07-14
fatal-attraction-a-dark-mafia-romance,reelshort,49.3M,2026-07-14
hello-let-s-get-married,reelshort,51.9M,2026-07-14
uncle-william-please-say-i-do,reelshort,72.8M,2026-07-14
escorting-the-ruthless-billionaire-doctor,reelshort,111.3M,2026-07-14
surrender-to-my-professor,reelshort,168.2M,2026-07-14
