title_id,platform_id,title_as_listed_on_platform,direct_link,free_episode_count,view_count,view_count_date,last_checked
billionaire-ceo-s-obsession,goodshort,Billionaire CEO's Obsession,,,,,2026-07-04
campus-rivals,vigloo,Campus Rivals,,,,,2026-07-04
fated-to-my-forbidden-alpha,reelshort,Fated to My Forbidden Alpha,https://www.reelshort.com/movie/fated-to-my-forbidden-alpha-647ffff5be685964fe120217,,217.6M,2026-07-14,2026-07-14
freeze-my-wanted-lover,reelshort,Freeze! My Wanted Lover,https://www.reelshort.com/movie/freeze-my-wanted-lover-66b8ad64256bd7b11c0394a4,,10.5M,2026-07-14,2026-07-14
goodbye-my-ceo,reelshort,"Goodbye, My CEO",https://www.reelshort.com/movie/goodbye-my-ceo-64e572c914fc5451293b5766,,47.8M,2026-07-14,2026-07-14
hillbilly-girlie-marries-a-billionaire,reelshort,Hillbilly Girlie Marries a Billionaire,https://www.reelshort.com/movie/hillbilly-girlie-marries-a-billionaire-67f7917b8c6a1df566097a39,,60.3M,2026-07-14,2026-07-14
i-accidentally-hired-a-billionaire-husband,reelshort,I Accidentally Hired a Billionaire Husband,https://www.reelshort.com/movie/i-accidentally-hired-a-billionaire-husband-6633dd04ec07ca8b8507745e,,66.6M,2026-07-14,2026-07-14
love-blood,reelshort,Love & Blood,,,,,2026-07-04
love-in-the-shadows,my-drama,Love in the Shadows,,,,,2026-07-04
love-in-the-shadows,dramabox,Love in the Shadows,,,,,2026-07-04
my-alpha-my-forbidden-fate,reelshort,"My Alpha, My Forbidden Fate",https://www.reelshort.com/movie/my-alpha-my-forbidden-fate-6a1fa1f73d80264639051da5,,,,2026-07-04
the-alpha-s-daughter,reelshort,The Alpha's Daughter,https://www.reelshort.com/movie/the-alpha-s-daughter-65264474efd3301db005d353,,36.1M,2026-07-14,2026-07-14
the-double-life-of-my-billionaire-husband,reelshort,The Double Life of My Billionaire Husband,https://www.reelshort.com/movie/the-double-life-of-my-billionaire-husband-65a8cec883959aedd8001107,,522.3M,2026-07-14,2026-07-14
the-secret-of-my-billion-dollar-marriage,reelshort,The Secret of My Billion-dollar Marriage,https://www.reelshort.com/movie/the-secret-of-my-billion-dollar-marriage-67240e49ddb3110f6a03ec61,,52.1M,2026-07-14,2026-07-14
the-unwanted-mate,shortmax,The Unwanted Mate,,,,,2026-07-04
undercover-heiress,reelshort,Undercover Heiress,https://www.reelshort.com/movie/undercover-heiress-6916da7f686e13455b00b9b9,,8.4M,2026-07-14,2026-07-14
you-belong-with-me,reelshort,You Belong With Me,,,,,2026-07-04
your-husband-is-mine,reelshort,Your Husband Is Mine,https://www.reelshort.com/movie/your-husband-is-mine-693b8e4d64a3329d740a60c9,,82.9M,2026-07-14,2026-07-14
fated-to-the-alpha,reelshort,Fated to the Alpha,https://www.reelshort.com/movie/fated-to-the-alpha-6648015a89ceb7c17b0f7194,,134.9M,2026-07-14,2026-07-14
queen-mom-rules,reelshort,Queen Mom Rules,https://www.reelshort.com/movie/queen-mom-rules-687addd8fdb18489980cda6b,,53.3M,2026-07-16,2026-07-16
escorting-the-heiress,reelshort,Escorting the Heiress,https://www.reelshort.com/movie/escorting-the-heiress-65fe6694b2d411400d03f7ce,,93.8M,2026-07-14,2026-07-14
